"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKAP10",796.275950029461,-1.17636341088905,0.319014414957966,-3.6874929649936,0.000226474352813662,0.00210319296826962
"AKAP12",3396.98945104741,1.95707778866234,0.510137744956481,3.8363712703307,0.000124865598484624,0.00129974921512387
"AKAP17A",965.117721654638,1.35572323014834,0.271858295245316,4.98687461026335,6.1363862240532e-07,1.49980498593771e-05
"AKAP5",123.295707667083,-1.30025778877498,0.444950330882373,-2.92225378548762,0.0034750825494528,0.018190825817923
"AKAP7",241.524277107744,-1.21504453366994,0.403179990101801,-3.01365286844506,0.00258122963064232,0.0144647495795253
"AKAP9",3990.8979896216,-1.13119255128809,0.323017913545984,-3.50194990386207,0.000461866452298796,0.0037218038483423
"AKR1C1",6643.48061534557,2.97693467747285,0.79406845090253,3.74896480786927,0.000177565997593389,0.00172918762500124
"AKR1C2",3275.84847484036,2.15691562121365,0.829216687646715,2.60114835283272,0.00929122649691363,0.0391446555240632
"AKT1",1370.99611608691,1.0825497187062,0.259120506046679,4.17778482769399,2.94361926356623e-05,0.000398017237915694
"AKT1S1",195.688189079437,1.77815095116987,0.478165306703297,3.71869503337518,0.000200254644482143,0.00190820765864876
"ALAD",670.149126128989,1.6661955035896,0.491723161165047,3.38848286023758,0.000702804211338611,0.00518178454378457
"ALAS2",408.922638318037,-5.91211758018939,1.66718213159471,-3.54617379118278,0.000390868338000356,0.00325218111517693
"ALCAM",715.643007924604,-1.57181339871323,0.542115558325281,-2.89940654639929,0.00373869778701391,0.019290942776885
"ALDH16A1",423.863107266333,3.37287031818231,0.413723558479429,8.15247343075826,3.56555303100486e-16,9.35676179610012e-14
"ALDH1A2",445.117669074029,-1.5802541553217,0.508555013488941,-3.1073416118354,0.00188778114298806,0.0113358464316451
"ALDH1L2",734.485258715301,-1.15547982676209,0.374114052793223,-3.08857637967621,0.00201117988265154,0.0119129704721123
"ALDH3B1",536.08636505367,1.90319077662635,0.317816799392396,5.98832654618912,2.12011075710496e-09,1.16163431153026e-07
"ALDOC",61.7988539969006,2.84558821155908,0.699292729039608,4.06923752155574,4.71672436501529e-05,0.000590894162913725
"ALG13",1047.50845527053,-1.64727289583,0.548481495602613,-3.00333358378874,0.00267039550070857,0.0148641830494367
"ALG5",578.915749629063,-1.02264278101724,0.319427202983056,-3.20148932672929,0.0013671914010525,0.00880398925216256
"ALG6",293.547373853091,-2.05992347652466,0.453751575279777,-4.53976049615814,5.63181629306902e-06,0.000101924631714128
"ALKBH5",1074.3247279793,1.14428604201273,0.302119432676677,3.78752876594114,0.000152153074030287,0.0015279662177543
"ALKBH7",180.045899916752,2.92137616541725,0.670628757956906,4.3561749041561,1.32355029915869e-05,0.000207359679233471
"ALOX5",1094.7482252309,-1.36132865790887,0.476470982198315,-2.85710716658558,0.00427521467220799,0.0214468942270328
"ALPK1",1268.7945906841,-1.46750204228972,0.437151044712782,-3.3569679405751,0.000788022493222013,0.00566558060736115
